player,year,team,round
"Vince, Bernie",2012,adelaide,R13
"Vince, Bernie",2012,adelaide,R14
"Vince, Bernie",2012,adelaide,R15
"Vince, Bernie",2012,adelaide,R16
"Vince, Bernie",2012,adelaide,R17
"Vince, Bernie",2012,adelaide,R18
"Vince, Bernie",2012,adelaide,R19
"Vince, Bernie",2012,adelaide,R20
"Vince, Bernie",2012,adelaide,R21
"Vince, Bernie",2012,adelaide,R22
"Vince, Bernie",2012,adelaide,QF
"Vince, Bernie",2012,adelaide,SF
"Vince, Bernie",2012,adelaide,PF
"Walker, Taylor",2012,adelaide,R1
"Walker, Taylor",2012,adelaide,R2
"Walker, Taylor",2012,adelaide,R3
"Walker, Taylor",2012,adelaide,R4
"Walker, Taylor",2012,adelaide,R5
"Walker, Taylor",2012,adelaide,R6
"Walker, Taylor",2012,adelaide,R7
"Walker, Taylor",2012,adelaide,R10
"Walker, Taylor",2012,adelaide,R12
"Walker, Taylor",2012,adelaide,R13
"Walker, Taylor",2012,adelaide,R14
"Walker, Taylor",2012,adelaide,R18
"Walker, Taylor",2012,adelaide,R19
"Walker, Taylor",2012,adelaide,R20
"Walker, Taylor",2012,adelaide,R21
"Walker, Taylor",2012,adelaide,R22
"Walker, Taylor",2012,adelaide,QF
"Walker, Taylor",2012,adelaide,SF
"Walker, Taylor",2012,adelaide,PF
"Wright, Matthew",2012,adelaide,R4
"Wright, Matthew",2012,adelaide,R5
"Wright, Matthew",2012,adelaide,R6
"Wright, Matthew",2012,adelaide,R7
"Wright, Matthew",2012,adelaide,R8
"Wright, Matthew",2012,adelaide,R9
"Wright, Matthew",2012,adelaide,R10
"Wright, Matthew",2012,adelaide,R12
"Wright, Matthew",2012,adelaide,R13
"Wright, Matthew",2012,adelaide,R14
"Wright, Matthew",2012,adelaide,R15
"Wright, Matthew",2012,adelaide,R16
"Wright, Matthew",2012,adelaide,R17
"Wright, Matthew",2012,adelaide,R18
"Wright, Matthew",2012,adelaide,R19
"Wright, Matthew",2012,adelaide,R20
"Wright, Matthew",2012,adelaide,R21
"Wright, Matthew",2012,adelaide,R22
"Wright, Matthew",2012,adelaide,R23
"Wright, Matthew",2012,adelaide,QF
"Wright, Matthew",2012,adelaide,SF
"Wright, Matthew",2012,adelaide,PF
"van Berlo, Nathan",2012,adelaide,R1
"van Berlo, Nathan",2012,adelaide,R2
"van Berlo, Nathan",2012,adelaide,R3
"van Berlo, Nathan",2012,adelaide,R4
"van Berlo, Nathan",2012,adelaide,R5
"van Berlo, Nathan",2012,adelaide,R6
"van Berlo, Nathan",2012,adelaide,R7
"van Berlo, Nathan",2012,adelaide,R8
"van Berlo, Nathan",2012,adelaide,R9
"van Berlo, Nathan",2012,adelaide,R10
"van Berlo, Nathan",2012,adelaide,R12
"van Berlo, Nathan",2012,adelaide,R13
"van Berlo, Nathan",2012,adelaide,R14
"van Berlo, Nathan",2012,adelaide,R15
"van Berlo, Nathan",2012,adelaide,R16
"van Berlo, Nathan",2012,adelaide,R17
"van Berlo, Nathan",2012,adelaide,R18
"van Berlo, Nathan",2012,adelaide,R19
"van Berlo, Nathan",2012,adelaide,R20
"van Berlo, Nathan",2012,adelaide,R21
"van Berlo, Nathan",2012,adelaide,R22
"van Berlo, Nathan",2012,adelaide,R23
"van Berlo, Nathan",2012,adelaide,QF
"van Berlo, Nathan",2012,adelaide,SF
"van Berlo, Nathan",2012,adelaide,PF
"Brown, Luke",2013,adelaide,R1
"Brown, Luke",2013,adelaide,R2
"Brown, Luke",2013,adelaide,R3
"Brown, Luke",2013,adelaide,R4
"Brown, Luke",2013,adelaide,R5
"Brown, Luke",2013,adelaide,R6
"Brown, Luke",2013,adelaide,R7
"Brown, Luke",2013,adelaide,R8
"Brown, Luke",2013,adelaide,R9
"Brown, Luke",2013,adelaide,R10
"Brown, Luke",2013,adelaide,R12
"Brown, Luke",2013,adelaide,R14
"Brown, Luke",2013,adelaide,R15
"Brown, Luke",2013,adelaide,R16
"Brown, Luke",2013,adelaide,R17
"Brown, Luke",2013,adelaide,R18
