DI_Avg,KI_Avg,MK_Avg,HB_Avg,GL_Avg,BH_Avg,HO_Avg,TK_Avg,RB_Avg,I5_Avg,CL_Avg,target
 -54.00718, -18.98486, -11.59522, -35.02232,  -2.14832,  -1.75328,  -4.41691,   5.35647,  -2.38934,  -8.20850,  -0.28246,   1.00000
 -11.00618,  -9.79430,   7.71918,  -1.21187,  -5.43587,  -0.44488,   8.91494, -19.64600,  -4.21491,  -9.34841,  -2.70624,   0.00000
 -22.34198, -34.34991, -19.30974,  12.00793,  -4.12955,  -1.75447,  -2.32386,  -9.19243,   1.83666,  -6.78246,  -0.20363,   0.00000
 -10.07099,  13.04317,   8.59891, -23.11417,   5.91843,   0.85700,  -6.44766,   7.84979,  -0.08658,   1.90261,  -3.14206,   1.00000
  24.50192,  24.06887,  14.22492,   0.43305,   4.76781,   2.20372,  21.79098,  -1.30711,  -8.01707,  12.99119,   5.63272,   1.00000
  27.16294,  10.51786,  -3.06161,  16.64508,   0.81961,   1.53190,  11.41225,  -3.53119,   1.69711,   5.42317,   8.68481,   0.00000
 -27.40481, -13.77068,  -6.54890, -13.63413,  -4.34899,  -1.53299,  17.03565,   0.13932,  -4.01760,  -7.09796,   1.15232,   0.00000
  11.53450,   5.60983,   5.30320,   5.92467,  -4.12968,  -2.62189,  11.60942,  -5.12760,   6.46893,  -8.34153,  -2.31005,   1.00000
   8.16027,  15.86553,   7.09092,  -7.70527,  -1.55991,  -0.50212, -21.13430,   9.39432,   3.40574,  -2.36856,  -3.49473,   1.00000
   6.46068,  -1.39157,  -3.48910,   7.85224,  -0.10469,   1.66164,   4.44372,   1.70798,  -0.32489,   0.64953,   3.58816,   1.00000
 -29.35173, -12.82088,  -7.10158, -16.53084,  -2.01836,  -1.88173,  -2.92142,   4.19257,   4.90484,  -6.69869,   0.44116,   0.00000
 -26.31483,  -2.59437,   3.99752, -23.72046,  -1.52464,  -0.52622,  -4.84661,  12.95649,   5.03657,  -1.11689,  -6.09647,   1.00000
